"Cantone","Nazionalità","Classi d'età 15-24, 15-49, 50 anni e più",,,"Disoccupati registrati","Persone in cerca d'impiego","Persone in cerca d'impiego non disoccupate"
"Argovia","stranieri","Totale",,,"4'972","7'280","2'308"
"Argovia","svizzeri","1","15-24 anni",,"958","1'178","220"
"Argovia","svizzeri","2","25-49 anni",,"2'792","3'838","1'046"
"Argovia","svizzeri","3","50 anni e più",,"1'962","2'849","887"
"Argovia","svizzeri","Totale",,,"5'712","7'865","2'153"
"Argovia","Totale","",,,"10'684","15'145","4'461"
"Turgovia","stranieri","1","15-24 anni",,"188","317","129"
"Turgovia","stranieri","2","25-49 anni",,"893","1'774","881"
"Turgovia","stranieri","3","50 anni e più",,"394","704","310"
"Turgovia","stranieri","Totale",,,"1'475","2'795","1'320"
"Turgovia","svizzeri","1","15-24 anni",,"329","477","148"
"Turgovia","svizzeri","2","25-49 anni",,"733","1'327","594"
"Turgovia","svizzeri","3","50 anni e più",,"521","1'019","498"
"Turgovia","svizzeri","Totale",,,"1'583","2'823","1'240"
"Turgovia","Totale","",,,"3'058","5'618","2'560"
"Ticino","stranieri","1","15-24 anni",,"231","326","95"
"Ticino","stranieri","2","25-49 anni",,"1'378","2'531","1'153"
"Ticino","stranieri","3","50 anni e più",,"694","1'177","483"
"Ticino","stranieri","Totale",,,"2'303","4'034","1'731"
"Ticino","svizzeri","1","15-24 anni",,"572","760","188"
"Ticino","svizzeri","2","25-49 anni",,"1'472","2'395","923"
"Ticino","svizzeri","3","50 anni e più",,"855","1'486","631"
"Ticino","svizzeri","Totale",,,"2'899","4'641","1'742"
"Ticino","Totale","",,,"5'202","8'675","3'473"
"Vaud","stranieri","1","15-24 anni",,"625","936","311"
"Vaud","stranieri","2","25-49 anni",,"5'987","8'712","2'725"
"Vaud","stranieri","3","50 anni e più",,"1'652","2'518","866"
"Vaud","stranieri","Totale",,,"8'264","12'166","3'902"
"Vaud","svizzeri","1","15-24 anni",,"1'279","1'682","403"
"Vaud","svizzeri","2","25-49 anni",,"5'203","7'249","2'046"
"Vaud","svizzeri","3","50 anni e più",,"2'409","3'552","1'143"
"Vaud","svizzeri","Totale",,,"8'891","12'483","3'592"
"Vaud","Totale","",,,"17'155","24'649","7'494"
"Vallese","stranieri","1","15-24 anni",,"287","454","167"
"Vallese","stranieri","2","25-49 anni",,"1'352","2'411","1'059"
"Vallese","stranieri","3","50 anni e più",,"487","907","420"
"Vallese","stranieri","Totale",,,"2'126","3'772","1'646"
"Vallese","svizzeri","1","15-24 anni",,"459","678","219"
"Vallese","svizzeri","2","25-49 anni",,"1'448","2'246","798"
"Vallese","svizzeri","3","50 anni e più",,"783","1'331","548"
"Vallese","svizzeri","Totale",,,"2'690","4'255","1'565"
"Vallese","Totale","",,,"4'816","8'027","3'211"
"Neuchâtel","stranieri","1","15-24 anni",,"216","260","44"
"Neuchâtel","stranieri","2","25-49 anni",,"1'353","1'836","483"
"Neuchâtel","stranieri","3","50 anni e più",,"401","574","173"
"Neuchâtel","stranieri","Totale",,,"1'970","2'670","700"
"Neuchâtel","svizzeri","1","15-24 anni",,"510","647","137"
"Neuchâtel","svizzeri","2","25-49 anni",,"1'476","1'972","496"
"Neuchâtel","svizzeri","3","50 anni e più",,"782","1'061","279"
"Neuchâtel","svizzeri","Totale",,,"2'768","3'680","912"
"Neuchâtel","Totale","",,,"4'738","6'350","1'612"
"Ginevra","stranieri","1","15-24 anni",,"297","398","101"
"Ginevra","stranieri","2","25-49 anni",,"4'561","5'780","1'219"
"Ginevra","stranieri","3","50 anni e più",,"1'084","1'423","339"
"Ginevra","stranieri","Totale",,,"5'942","7'601","1'659"
"Ginevra","svizzeri","1","15-24 anni",,"617","778","161"
"Ginevra","svizzeri","2","25-49 anni",,"4'066","5'037","971"
"Ginevra","svizzeri","3","50 anni e più",,"1'609","2'081","472"
"Ginevra","svizzeri","Totale",,,"6'292","7'896","1'604"
"Ginevra","Totale","",,,"12'234","15'497","3'263"
"Giura","stranieri","1","15-24 anni",,"46","63","17"
"Giura","stranieri","2","25-49 anni",,"344","505","161"
"Giura","stranieri","3","50 anni e più",,"115","161","46"
"Giura","stranieri","Totale",,,"505","729","224"
"Giura","svizzeri","1","15-24 anni",,"220","297","77"
"Giura","svizzeri","2","25-49 anni",,"548","817","269"
"Giura","svizzeri","3","50 anni e più",,"346","532","186"
"Giura","svizzeri","Totale",,,"1'114","1'646","532"
"Giura","Totale","",,,"1'619","2'375","756"
"Totale","","",,,"133'169","193'624","60'455"
